Class Times	76
015134	SOCL	200	
008764	SPAN	000	LANG
005180	HIST	200	
003407	ENGL	100	
015113	PSYC	100	
014991	GEOL	100	
002381	CITY	200	
014555	CHEM	300	
015115	PSYC	300	
015111	CITY	200	
012320	EAST	200	
015133	SOCL	300	
002388	CITY	200	
015116	POLS	200	
015135	BIOL	200	
015106	CITY	300	
015004	COML	300	
015132	SOCL	200	
002370	CITY	200	
015007	EDUC	300	
014234	HIST	300	
012341	GERM	300	
015049	EAST	200	
012355	ARTD	300	
002433	CITY	300	
009232	CITY	200	
008468	SOCL	200	
015161	COML	300	
005252	HIST	300	
005257	HIST	300	
011325	MATH	300	
006560	PHIL	300	
002373	CITY	200	
012890	COML	300	
Teachers	172
3818982	003442 003463
0493725	002367 001156
0020988	002394
0031373	002412 004838
3474008	001767
0897399	003572 002855
0898918	001839 014569
0123161	001845 001892 004288 001857 001185
3897776	002153 014555
3554385	008769 008763 008764
0031399	006587 006573 014578 009283 004818 002855 011837 014576
0576472	008774 014988 015004
1051497	002472 002469 002413 004839 004882
1020104	005310 005293
3646540	004036 004065 004011
3393009	003520 003454
0031582	005847 002867
3194193	012729 004809 012730
3555100	014119 005310 014139 002855
0847593	004355 004359 002855
0493855	005263 005195
0316015	004304 007006
3461209	006846
0402773	006846 010314 014998 014999 014995 002855
3459335	013192
0135660	001248 014985
0180723	002164 002186
0897706	003526 002855
0031471	001213 002855
0031572	008824 008778 008784
3470325	013059 002878
3474420	001768 001763 002855
1141520	006023
3896858	008773 008769
0564741	011230 014225 012295 006560
3577231	001898
3198619	007127 013183 013184
0672202	004885 004807
0321808	009299 004817 002438 002381 005252
0031631	014534 007391
3818518	003525 002855 015161
1165566	004301 014991
3099830	001769
0031388	001151 001161
0168378	002162 014981
3415849	011826 002151 002186
3897774	001840
0162976	007125 007128 007010
0056992	001861 014567
0970488	001770
3092941	003469
0031478	006508 011207
0409737	006042 010844 010731
0348369	012731 002855
3691394	003037 002992
3212821	005845 005854
3392421	014983 005724
0826964	011076
0058557	004725 002855
0775640	004666
1083806	014977 002186
0031619	008479 002855 008500
3420576	013185 008484
0004950	002186
3898736	011035
0031611	007368 007403
0125630	008500 008420 013996
0695890	014550 002855
3332662	003014 012665 002855
3792641	012895
3818521	004279
0031347	010314 002855
0777265	006564 006521 007031 012341
1167884	014994 006865 014998
0207327	006038 006059 002567 010731
0031526	006044
0028980	007093 011321 011322
0031756	001563 015014 001559 002855 001562
3195964	011063 011064 011065
0138190	002653
0851717	014980
3764395	003034 003007 002440
3400071	005119
3556752	014970 014971 002855
0431634	006026 010731
0129398	011206 011203 001562
0603646	007372
0470839	011834 007881 002855
3481299	007043
0132890	002375 008427
0031632	012823 001427 001230 014543 002373
3448653	014990
0213446	006029
3900086	007034
0031578	004017 004014 004013
3648217	013212
3098022	001460 013204 013203
3792642	002564 002562
3646542	004280 014992
3814283	001179 001549
0492580	013613 003002 002374
3646602	006854
3818519	006867
0853792	001444 001473
3839982	006023 011325
0053518	004832
0899465	008770 014982
0431946	015003 015002 007887 007925
0802802	004274
0827051	014113 015012
0031386	007899 007877
0468281	014103
1168490	002562 002572
3818712	002992
3460456	004013 004009
3442425	004011 004009
0989327	004379 004393 002671 015007
0492321	012354
1061861	003277
1084458	012886 004739 012890
0254151	014542
3648007	005722 013157
3575049	014627 014629
1167863	002151 014548
0162987	002151
0301910	002160
0782953	002160
3194524	014986
1083671	001547
3209393	014567 014569
3555097	011861 014233 009262 014234
1137952	005271
0428728	008763 008770
3393853	002637
3470402	010851 002855
0031333	012353
3811928	002643
0910346	012733
3436970	001562
3896859	001753
3786642	014441
3451414	006504
0554585	006024
1168214	014231
3764403	011986 015016
0031359	003445 002855
0357848	001761
3458402	002879
3839983	002386 002367 015049
3577930	012352
1061058	001771 002855
3813957	002562
3452118	001836
3102267	006846
0020038	002855
3318436	002855
0995587	002855 003573
0020093	002855
1167851	002855
3784569	002855
0697660	002855 002433
3898276	015163
3819183	014120 005180 005257
0820103	015114 015113 015115
3898367	015134 015133 015132 002370
0845898	003407
3896857	015111 015106 009232
3421211	012320
3839981	002388 015116 008468
3899727	015135
0683480	012355
0254474	011198
